"Ashanti","Douglas","Thomas Carter","2005"
"Laurence","Fishburne","Jean-Fran?is Richet","2005"
"Ethan","Hawke","Jean-Fran?is Richet","2005"
"Gary","Sinise","Robert Zemeckis","1994"
"Will","Smith","Roland Emmerich","1996"
"Bruce","Willis","M. Night Shyamalan","1999"
"Alec","Baldwin","Martin Scorsese","2004"
"Gerard","Butler","Joel Schumacher","2004"
"Minnie","Driver","Joel Schumacher","2004"
"Mark","Ruffalo","Michel Gondry","2004"
"Jake","Gyllenhaal","Richard Kelly","2001"
"Scarlett","Johansson","Terry Zwigoff","2004"
"Scarlett","Johansson","Peter Webber","2003"
"Jude","Law","David O. Russell","2004"
"Billy","Crystal","Rob Reiner","1987"
"Colin","Firth","Peter Webber","2003"
"none","Eminem","Curtis Hanson","2002"
"Thora","Birch","Sam Mendes","1999"
"Kate","Winslet","James Cameron","1997"
"Sean","Penn","Clint Eastwood","2003"
"Joesph","Fiennes","John Madden","1998"
"Mena","Suvari","Sam Mendes","1999"
"Emmy","Rossum","Clint Eastwood","2003"
"Tim","Robbins","Clint Eastwood","2003"
"Jennifer","Garner","Rob Bowman","2005"
"Jennifer","Lopez","Peter Chelsom","2004"
"Michael","Moore","Michael Moore","2004"
"Craig","Nelson","Brad Bird","2004"
"Jason","Statham","Guy Ritchie","2000"
"Samuel L.","Jackson","Brad Bird","2004"
"Robert","De Niro","Jay Roach","2004"
"Eva","Mendes","Antonie Fuqua","2001"
"Laurence ","Fishburne","Wachowski Brothers","1999"
"Hugo","Weaving","Wachowski Brothers","1999"
"Owen","Wilson","Jay Roach","2004"
"Owen","Wilson","Todd Phillips","2004"
"Renee","Zellweger","Anthony Minghella","2003"
"Goran","Visnjic","Rob Bowman","2005"
"Will Yun","Lee","Rob Bowman","2005"
"Michael","Caine","Christopher Nolan","2005"
"Liam","Neeson","Christopher Nolan","2005"
"Morgan","Freeman","Christopher Nolan","2005"
"Katie","Holmes","Christopher Nolan","2005"
"Andy","Garcia","Steven Soderbergh","2001"
"Andy","Garcia","Steven Soderbergh","2004"
"Scott","Caan","Steven Soderbergh","2001"
"Scott","Caan","Ben Younger","2000"
"Giovanni","Ribsi","Ben Younger","2000"
"Nia","Long","Ben Younger","2000"
"Nicky","Katt","Ben Younger","2000"
"Benicio","Del Toro","Steven Soderbergh","2000"
"Benicio","Del Toro","Guy Ritchie","2000"
"Don","Cheadle","Steven Soderbergh","2004"
"Marlon","Brando","Francis Ford Coppola","1972"
"Diane","Keaton","Francis Ford Coppola","1972"
"James","Caan","Francis Ford Coppola","1972"
"Dustin","Hoffman","Jay Roach","2004"
"Robert","DeNiro","Jay Roach","2004"
"Jennifer","Garner","Rob Bowman","2005"
"Ben","Stiller","Jay Roach","2004"
"Barbra","Streisand","Jay Roach","2004"
"Gerge","Clooney","Steven Soderbergh","2004"
"Julia","Roberts","Steven Soderbergh","2004"
"Nicolas","Cage","Jon Turteltaub","2004"
"Harvey","Keitel","Jon Turteltaub","2004"
"Dennis","Quaid","Paul Weitz","2004"
"Dennis","Quaid","Richard Curtis","2003"
"Michael","Keaton","Geoffrey Sax","2005"
"Jennifer","Connelly","Ron Howard","2001"
"Ed","Harris","Ron Howard","2001"
"Hugh","Grant","Richard Curtis","2003"
"Martine","McCutcheor","Richard Curtis","2003"
"Ewan","McGregor","Baz Luhrmann","2001"
"Sally","Field","Robert Zemeckis","1994"
"Sean","Astin","Peter Jackson","2001"
"Sean","Astin","Peter Jackson","2003"
"Sean","Astin","Peter Jackson","2002"
"Christian","Bale","Brad Anderson","2005"
"Christian","Bale","Terrence Malick","2005"
"Kate","Beckinsale","Martin Scorsese","2004"
"Kate","Beckinsale","Martin Scorsese","2004"
"Kate","Beckinsale","Thomas Carter","2005"
"Halle","Berry","Chris Wedge","2005"
"Halle","Berry","Pitof","2004"
"Cate","Blanchett","Martin Scorsese","2004"
"Orlando","Bloom","Wolfgang Peterson","2004"
"Orlando","Bloom","Ridley Scott","2005"
"Orlando","Bloom","Ridley Scott","2005"
"Adrien","Brody","Peter Sehr","2001"
"Jim","Carrey","Tom Shadyac","2003"
"Jim","Carrey","Brad Silberling","2004"
"Jim","Carrey","Peter Farrelly","1994"
"Jim","Carrey","Frank Darabont","2001"
"Jackie","Chan","Dante Lam","2003"
"George","Clooney","Steven Soderbergh","2004"
"George","Clooney","Steven Soderbergh","2004"
"George","Clooney","Steven Soderbergh","2001"
"George","Clooney","Steven Soderbergh","2001"
"George","Clooney","Steven Soderbergh","1995"
"Jennifer","Connelly","Darren Aronofsky","2000"
"Sean","Connery","Steven Spielberg","1989"
"Russell","Crowe","Ron Howard","2005"
"Ice","Cube","Tim Story","2002"
"Timothy","Dalton","John Glen","1987"
"Timothy","Dalton","John Glen","1989"
"Matt","Damon","Kevin Smith","1999"
"Matt","Damon","Steven Soderbergh","2001"
"Matt","Damon","Steven Soderbergh","2004"
"Matt","Damon","Doug Liman","2004"
"Matt","Damon","Steven Soderbergh","2001"
"Robert","De Niro","Nick Hamm","2004"
"Robert","De Niro","John Polson","2005"
"Johnny","Depp","Tim Burton","2005"
"Johnny","Depp","Wes Craven","1984"
"Cameron","Diaz","Oliver Stone","1999"
"Leonardo","DiCaprio","James Cameron","1997"
"Leonardo","DiCaprio","Steven Spielberg","2002"
"Leonardo","DiCaprio","Martin Scorsese","2004"
"Michael","Douglas","Curtis Hanson","2000"
"Harrison","Ford","Ridley Scott","1982"
"Harrison","Ford","Steven Spielberg","1989"
