Roger,Moore,Octopussy
Robert,Brown,Octopussy
Lois,Maxwell,Octopussy
Desmond,Llewelyn,Octopussy
George,Lazenby,On Her Majestys Secret Service
Bernard,Lee,On Her Majestys Secret Service
Lois,Maxwell,On Her Majestys Secret Service
Desmond,Llewelyn,On Her Majestys Secret Service
Samuel,Jackson,One Eight Seven
Tara,Subkoff,One Eight Seven
Tom,Hanks,Philadelphia
Denzel,Washington,Philadelphia
Richard,Gere,Pretty Woman
Julia,Roberts,Pretty Woman
Meg,Ryan,Proof of Life
Russell,Crowe,Proof of Life
Emmet,Walsh,Racing Stripes
Frankie,Muniz,Racing Stripes
Whoopi,Goldberg,Racing Stripes
Dustin,Hoffman,Racing Stripes
Harrison,Ford,Raiders Of The Lost Ark
Jamie,Fox,Ray
Kerry,Washington,Ray
Jennifer,Connelly,Requiem For a Dream
Tobey,Maguire,Ride With the Devil
Halle,Berry,Robots
Ewan,McGregor,Robots
Gregory,Peck,Roman Holiday
Audrey,Hepburn,Roman Holiday
Richard,Gere,Runaway Bride
Julia,Roberts,Runaway Bride
Jackie,Chan,Rush Hour 2
Chris,Tucker,Rush Hour 2
Tom,Hanks,Saving Private Ryan
Al,Pacino,Scarface
Michelle,Pfeiffer,Scarface
Steven,Bauer,Scarface
Brad,Pitt,Seven
Joesph,Fiennes,Shakespeare in Love
Jennifer,Lopez,Shall We Dance
Richard,Gere,Shall We Dance
Jennifer,Lopez,Shall We Dance
Richard,Chamberlain,Shogun
Mike,Myers,Shrek
Cameron,Diaz,Shrek
New Eddie,Murphy,Shrek
Johnny,Depp,Sleepy Hollow
Christina,Ricci,Sleepy Hollow
Kristin,Kreuk,Smallville: Season 3
Vinnie,Jones,Snatch
Jason,Statham,Snatch
Benicio,Del Toro,Snatch
Brad,Pitt,Snatch
Brad,Pitt,Snatch.
Jamie,Kennedy,Son Of The Mask
Kirsten Dunst,Kreuk,Spider Man
Kirsten Dunst,Kreuk,Spider Man 2
Tobey,Maguire,Spider-Man 2
Kirsten,Dunst,Spiderman 2
Tobey,Maguire,Spiderman 2
Samuel,Jackson,"Star Wars, Episode 3: Revenge of the Sith"
Ewan,McGregor,"Star Wars, Episode 3: Revenge of the Sith"
Natalie,Portman,"Star Wars, Episode 3: Revenge of the Sith"
Ewan,MacGregor,Star Wars: Episode I
Natalie,Portman,Star Wars: Episode I
Natalie,Portman,Star Wars: Episode III - Revenge of the Sith
Casper,Van Dien,Starship Troopers
Vince,Vaughn,Starsky & Hutch
Snoop,Dogg,Starsky & Hutch
Owen,Wilson,Starsky & Hutch
Ben,Stiller,Starsky & Hutch
Julia,Roberts,Stepmom
Geoffrey,Rush,Swimming Upstream
Hilary,Swank,The Affair of the Necklace
Keir,Dullea,The Affair of the Necklace
Leonardo,DiCaprio,The Aviator
Alec,Baldwin,The Aviator
Kate,Beckinsale,The Aviator
Paul,Walker,The Fast and the Furious
Vin,Diesel,The Fast and the Furious
Jordana,Brewster,The Fast and the Furious
Chris,Tucker,The Fifth Element
Bruce,Willis,The Fifth Element
Al,Pacino,The Godfather
Marlon,Brando,The Godfather
Marlon,Brando,The Godfather
Diane,Keaton,The Godfather
James,Caan,The Godfather
Sean,Astin,The Goonies
TommyLee,Jones,The Hunted
Benicio,Del Toro,The Hunted
Holly,Hunter,The Incredibles
Craig,Nelson,The Incredibles
Samuel L.,Jackson,The Incredibles
Bill,Murray,The Life Aquatic
Cate ,Blanchett,The Life Aquatic
Owen,Wilson,The Life Aquatic
Robert,Brown,The Living Daylights
Caroline,Bliss,The Living Daylights
Desmond,Llewelyn,The Living Daylights
Timothy,Dalton,The Living Daylights
Orlando,Bloom,The Lord of the Rings: The Fellowship of the Ring
Liv,Tyler,The Lord of the Rings: The Fellowship of the Ring
Hugo,Weaving,The Lord of the Rings: The Fellowship of the Ring
Viggo,Mortensen,The Lord of the Rings: The Fellowship of the Ring
Ian,McKellen,The Lord of the Rings: The Fellowship of the Ring
Elijah,Wood,The Lord of the Rings: The Fellowship of the Ring
Sean,Astin,The Lord of the Rings: The Fellowship of the Ring
Orlando,Bloom,The Lord of the Rings: The Return of the King
Liv,Tyler,The Lord of the Rings: The Return of the King
Hugo,Weaving,The Lord of the Rings: The Return of the King
Viggo,Mortensen,The Lord of the Rings: The Return of the King
Ian,McKellen,The Lord of the Rings: The Return of the King
Elijah,Wood,The Lord of the Rings: The Return of the King
Ian,Holm,The Lord of the Rings: The Return of the King
Sean,Astin,The Lord of the Rings: The Return of the King
Liv,Tyler,The Lord of the Rings: The Return of the King
Elijah,Wood,The Lord of the Rings: The Return of the King
Orlando,Bloom,The Lord of the Rings: The Two Towers
Liv,Tyler,The Lord of the Rings: The Two Towers
Hugo,Weaving,The Lord of the Rings: The Two Towers
Viggo,Mortensen,The Lord of the Rings: The Two Towers
Ian,McKellen,The Lord of the Rings: The Two Towers
Elijah,Wood,The Lord of the Rings: The Two Towers
